0,1,2,3,4,5,6
,,Table 1: Interface of zoonoses and the global burden of disease. Adapted from [8].,,,,
Poverty interface,,,Emerging market interface,,Zoonoses interface,
,,Monogastrics,Rapid change,,,
Poor livestock,Protein energy,,,Zoonoses,Endemic zoonoses,Emerging
,,(TLU),monogastrics,,,
keepers,malnutrition,,,burden GBD,prevalence,zoonoses events
,,2010,2010–2030,,,
India,India,China,Myanmar,India,Nigeria,USA
Nigeria,Ethiopia,Brazil,Burkina Faso,Nigeria,Ethiopia,UK
Ethiopia,Nigeria,Indonesia,India,Congo DR,Tanzania,Australia
Bangladesh,China,India,Pakistan,China,Togo,France
Congo DR,Congo DR,Vietnam,Ghana,Ethiopia,India,Brazil
Pakistan,Bangladesh,Iran,Afghanistan,Bangladesh,Mali,Canada
Kenya,Pakistan,Philippines,Bangladesh,Pakistan,Vietnam,Germany
Sudan,Indonesia,Thailand,Liberia,Afghanistan,Sudan,Japan
,,,Central African,,,
China,Angola,Nigeria,,Angola,Bangladesh,China
,,,Republic,,,
Tanzania,Afghanistan,Ukraine,Chad,Brazil,Burkina,Sweden
Indonesia,Tanzania,Pakistan,Cambodia,Indonesia,Cameroon,Italy
Madagascar,Brazil,Myanmar,Benin,Niger,Chad,Malaysia
Niger,Philippines,Bangladesh,Laos,Tanzania,Rwanda,Switzerland
Uganda,Uganda,Peru,Thailand,Kenya,Ghana,Congo DR
Turkey,Mali,Colombia,Zimbabwe,Cˆote d’Ivoire,Mozambique,Sudan
Philippines,Sudan,Ecuador,Ethiopia,Uganda,South Africa,Argentina
Afghanistan,Mozambique,Morocco,Guinea,Sudan,Congo DR,India
Egypt,Malawi,South Africa,Guinea-Bissau,Burkina,Egypt,Israel
Mozambique,South Africa,Bolivia,China,Mali,Gambia,Peru
,,,,,,Trinidad and
Burkina,Vietnam,Egypt,Mali,Iraq,Ivory Coast,
,,,,,,Tobago
,,,,,Pakistan,Uganda
,,,,,Zimbabwe,Vietnam
